function_name,function_type,dimension,point_index,point,multiindex,order,encoded_degree,exact_value,predicted_value,abs_error,squared_error
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","0,1",1,1.01,1.2348252866605676,1.2348252866605673,2.2204460492503131E-16,4.9303806576313238E-32
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","1,0",1,1.10,6.5394141785080766,6.5394141785080766,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","0,2",2,2.02,-10.740465705819371,-10.740465705819373,1.7763568394002505E-15,3.1554436208840472E-30
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","1,1",2,2.11,-1.8232354881610595,-1.8232354881610595,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","2,0",2,2.20,17.379047074672641,17.379047074672641,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","0,3",3,3.03,31.535732869356668,31.535732869356668,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","1,2",3,3.12,-4.5766903196019548,-4.5766903196019548,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","2,1",3,3.21,-4,-4,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","3,0",3,3.30,32.118690104603218,32.118690104603218,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","0,4",4,4.04,-68.650354794029312,-68.650354794029312,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","1,3",4,4.13,6,6,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","2,2",4,4.22,0,0,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","3,1",4,4.31,0,0,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","4,0",4,4.40,36,36,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","0,5",5,5.05,90,90,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","1,4",5,5.14,0,0,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","2,3",5,5.23,0,0,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","3,2",5,5.32,0,0,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","4,1",5,5.41,0,0,0,0
poly_2d,polynomial,2,0,"0.89218583623897818;-0.76278171993365906","5,0",5,5.50,0,0,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","0,1",1,1.01,0.034052002228066966,0.034052002228066966,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","1,0",1,1.10,-0.07558197684878537,-0.07558197684878537,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","0,2",2,2.02,0.53022385885279033,0.53022385885279022,1.1102230246251565E-16,1.2325951644078309E-32
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","1,1",2,2.11,-0.10339763633087484,-0.10339763633087484,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","2,0",2,2.20,-1.0225753639257948,-1.0225753639257951,2.2204460492503131E-16,4.9303806576313238E-32
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","0,3",3,3.03,4.3725301889610844,4.3725301889610844,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","1,2",3,3.12,1.7513493466913441,1.7513493466913441,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","2,1",3,3.21,-4,-4,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","3,0",3,3.30,3.230997127595022,3.230997127595022,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","0,4",4,4.04,26.270240200370161,26.270240200370157,3.5527136788005009E-15,1.2621774483536189E-29
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","1,3",4,4.13,6,6,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","2,2",4,4.22,0,0,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","3,1",4,4.31,0,0,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","4,0",4,4.40,36,36,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","0,5",5,5.05,90,90,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","1,4",5,5.14,0,0,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","2,3",5,5.23,0,0,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","3,2",5,5.32,0,0,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","4,1",5,5.41,0,0,0,0
poly_2d,polynomial,2,1,"0.089749920210972833;0.29189155778189069","5,0",5,5.50,0,0,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","0,1",1,1.01,-0.24149216336690194,-0.24149216336690194,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","1,0",1,1.10,0.34790228048751964,0.34790228048751964,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","0,2",2,2.02,0.12508668406463563,0.12508668406463552,1.1102230246251565E-16,1.2325951644078309E-32
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","1,1",2,2.11,1.6565503064624889,1.6565503064624889,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","2,0",2,2.20,0.16483786542101386,0.16483786542101386,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","0,3",3,3.03,4.6586600109844367,4.6586600109844367,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","1,2",3,3.12,2.2793117734292547,2.2793117734292547,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","2,1",3,3.21,-4,-4,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","3,0",3,3.30,-11.012506137792489,-11.012506137792489,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","0,4",4,4.04,34.189676601438826,34.189676601438826,0,0
